id,listingId,slug,streetAddress,soldAt,soldAtLabel,askingPrice,finalPrice,livingArea,locationDescription,fee,squareMeterPrice,housingForm,rooms,landArea,priceChange,brokerAgencyName,brokerAgencyThumbnail,brokerThumbnail,brokerName,labels,product,recordType,latitude,longitude
4676726427712722445,21444851,lagenhet-5rum-norrliden-sundsvalls-kommun-kungsvagen-11-4676726427712722445,Kungsvägen 11,1734001200.0,Såld 12 dec. 2024,3 195 000 kr,3 300 000 kr,"114,5 m²","Norrliden, Sundsvalls kommun",6 679 kr/mån,28 821 kr/m²,{'symbol': 'APARTMENT'},5 rum,,+3 %,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2/6f/47/6f472408571111fc3d41d0dff42955b9.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39887,17.317627
4900108720804980567,21451832,lagenhet-2rum-haga-sundsvalls-kommun-institutsvagen-9-4900108720804980567,Institutsvägen 9,1733494500.0,Såld 6 dec. 2024,1 285 000 kr,1 560 000 kr,"65,4 m²","Haga, Sundsvalls kommun",4 301 kr/mån,23 853 kr/m²,{'symbol': 'APARTMENT'},2 rum,,+21 %,Svenska Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/80/ce/80cebbd188b792a0cdc2c2bd4cfda1f7.png,,,FEATURE:Balkong;FEATURE:Uteplats;FEATURE:Hiss,NONE,COMMON,62.4028358,17.3182373
7083611113293761929,21363992,lagenhet-3rum-norrliden-sundsvalls-kommun-kungsvagen-11-7083611113293761929,Kungsvägen 11,1733493600.0,Såld 6 dec. 2024,2 950 000 kr,2 800 000 kr,"73,5 m²","Norrliden, Sundsvalls kommun",4 681 kr/mån,38 095 kr/m²,{'symbol': 'APARTMENT'},3 rum,,-5 %,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.3988342,17.3177586
3636309349001224696,21317457,lagenhet-7rum-norrliden-sundsvalls-kommun-baldersvagen-40-3636309349001224696,Baldersvägen 40,1733439599.0,Såld 5 dec. 2024,4 100 000 kr,3 575 000 kr,203 m²,"Norrliden, Sundsvalls kommun",11 475 kr/mån,17 611 kr/m²,{'symbol': 'APARTMENT'},7 rum,,-13 %,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong,NONE,COMMON,62.3979662,17.3130871
650215218306238925,21426367,"lagenhet-2,5rum-centralt-vast-pa-stan-sundsvalls-kommun-storgatan-72b-650215218306238925",Storgatan 72b,1732921199.0,Såld 29 nov. 2024,1 375 000 kr,1 375 000 kr,60 m²,"Centralt - Väst på stan, Sundsvalls kommun",3 896 kr/mån,22 917 kr/m²,{'symbol': 'APARTMENT'},"2,5 rum",,±0 %,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong,NONE,COMMON,62.3928825,17.2885506
178439539420377136,21447342,lagenhet-2rum-centralt-vast-pa-stan-sundsvalls-kommun-vastra-allen-9-178439539420377136,Västra Allén 9,1732921199.0,Såld 29 nov. 2024,1 195 000 kr,1 510 000 kr,69 m²,"Centralt - Väst på stan, Sundsvalls kommun",2 908 kr/mån,21 884 kr/m²,{'symbol': 'APARTMENT'},2 rum,,+26 %,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong,NONE,COMMON,62.3915095,17.2903269
6769318682494701118,21423297,lagenhet-2rum-centrum-sundsvalls-kommun-storgatan-52b-6769318682494701118,Storgatan 52B,1732903200.0,Såld 29 nov. 2024,1 350 000 kr,1 350 000 kr,60 m²,"Centrum, Sundsvalls kommun",3 596 kr/mån,22 500 kr/m²,{'symbol': 'APARTMENT'},2 rum,,±0 %,Fastighetsbyrån Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/3d/53/3d53972640f121199879bf779e590c7d.jpg,,,FEATURE:Hiss,NONE,COMMON,62.3924228968,17.294745211
3825795265158158614,21444554,lagenhet-2rum-sundsvall-sundsvalls-kommun-akersviksgatan-9c-3825795265158158614,Åkersviksgatan 9C,1732579200.0,Såld 26 nov. 2024,1 375 000 kr,1 375 000 kr,"56,5 m²","Sundsvall, Sundsvalls kommun",4 150 kr/mån,24 336 kr/m²,{'symbol': 'APARTMENT'},2 rum,,±0 %,Svensk Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_1/73/80/7380eae8e412bea23a30d7cdd416f750.png,https://bilder.hemnet.se/images/broker_profile_small/ed/b7/edb7d0a7e8297703f5545f9510a6ea60.jpg,Alexander Vallgren,FEATURE:Balkong,ENHANCED,COMMON,62.39152,17.29235
301691886443635262,21406627,lagenhet-3rum-sundsvall-centrum-sundsvalls-kommun-akersviksgatan-14-301691886443635262,Åkersviksgatan 14,1731744000.0,Såld 16 nov. 2024,1 495 000 kr,1 425 000 kr,72 m²,"Sundsvall centrum, Sundsvalls kommun",3 322 kr/mån,19 792 kr/m²,{'symbol': 'APARTMENT'},3 rum,,-5 %,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Uteplats,NONE,COMMON,62.3911,17.2915688
1000091914421112188,21440793,lagenhet-4rum-norrliden-sundsvalls-kommun-norrlidsgatan-8-1000091914421112188,Norrlidsgatan 8,1731681000.0,Såld 15 nov. 2024,3 750 000 kr,3 725 000 kr,100 m²,"Norrliden, Sundsvalls kommun",5 969 kr/mån,37 250 kr/m²,{'symbol': 'APARTMENT'},4 rum,,-1 %,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2/6f/47/6f472408571111fc3d41d0dff42955b9.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39731,17.31484
7377797690044155548,21270639,"lagenhet-1,5rum-centralt-vast-pa-stan-sundsvalls-kommun-bergsgatan-79a-7377797690044155548",Bergsgatan 79a,1731279599.0,Såld 10 nov. 2024,775 000 kr,750 000 kr,"40,5 m²","Centralt - Väst på stan, Sundsvalls kommun",3 966 kr/mån,18 519 kr/m²,{'symbol': 'APARTMENT'},"1,5 rum",,-3 %,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,,NONE,COMMON,62.3880688,17.2856704
48224525189346937,21433501,lagenhet-2rum-norra-kajen-sundsvalls-kommun-jaktgatan-5-48224525189346937,Jaktgatan 5,1731232800.0,Såld 10 nov. 2024,2 050 000 kr,1 950 000 kr,48 m²,"Norra Kajen, Sundsvalls kommun",4 813 kr/mån,40 625 kr/m²,{'symbol': 'APARTMENT'},2 rum,,-5 %,Bjurfors Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/a7/97/a797d617963cb956b85e8a6bb4fb6079.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39339,17.3236122
2279093503064673675,21416458,lagenhet-5rum-centrum-sundsvalls-kommun-storgatan-56a-2279093503064673675,Storgatan 56A,1730797200.0,Såld 5 nov. 2024,3 595 000 kr,3 500 000 kr,132 m²,"Centrum, Sundsvalls kommun",7 637 kr/mån,26 515 kr/m²,{'symbol': 'APARTMENT'},5 rum,,-3 %,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2_2x/6f/47/6f472408571111fc3d41d0dff42955b9.png,https://bilder.hemnet.se/images/broker_profile_small/18/f9/18f95653e52ea88ef685a81c38d2fe09.png,Felix Krantz,FEATURE:Balkong;FEATURE:Hiss,ENHANCED,COMMON,62.39257,17.2926579
4307762508785359491,21434077,lagenhet-2rum-alliero-sundsvalls-kommun-bergfotsvagen-2-4307762508785359491,Bergfotsvägen 2,1730376000.0,Såld 31 okt. 2024,Pris saknas,2 300 000 kr,74 m²,"Alliero, Sundsvalls kommun",4 093 kr/mån,31 081 kr/m²,{'symbol': 'APARTMENT'},2 rum,,,Fastighetsbyrån Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/3d/53/3d53972640f121199879bf779e590c7d.jpg,,,,NONE,COMMON,62.3961565495,17.3036204184
2900846855258386054,21433388,lagenhet-2rum-centrum-stenstaden-sundsvalls-kommun-dalgatan-1a-2900846855258386054,Dalgatan 1A,1730210400.0,Såld 29 okt. 2024,750 000 kr,770 000 kr,60 m²,"Centrum-Stenstaden, Sundsvalls kommun",4 065 kr/mån,12 833 kr/m²,{'symbol': 'APARTMENT'},2 rum,,+3 %,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2_2x/6f/47/6f472408571111fc3d41d0dff42955b9.png,https://bilder.hemnet.se/images/broker_profile_small/c2/09/c2095a54bc3e3126b2575523a0703d59.jpg,Victor Munter,,ENHANCED,COMMON,62.39262,17.2885647
4841543870675397753,21425431,lagenhet-2rum-haga-sundsvalls-kommun-baldersvagen-48-4841543870675397753,Baldersvägen 48,1729684800.0,Såld 23 okt. 2024,1 495 000 kr,1 450 000 kr,62 m²,"Haga, Sundsvalls kommun",3 677 kr/mån,23 387 kr/m²,{'symbol': 'APARTMENT'},2 rum,,-3 %,Norrlandsmäklarna,https://bilder.hemnet.se/images/broker_logo_2/e2/b5/e2b53a760442267599abab10670df283.png,https://bilder.hemnet.se/images/broker_profile_small/2d/d1/2dd19624ee373d67559f18364115e860.png,Patrik Sjödin,FEATURE:Balkong;FEATURE:Uteplats,ENHANCED,COMMON,62.39832938243752,17.314345226980734
1807606376464292557,21296425,lagenhet-3rum-centrum-stenstaden-sundsvalls-kommun-gronborgsgatan-3-1807606376464292557,Grönborgsgatan 3,1729332000.0,Såld 19 okt. 2024,1 995 000 kr,1 800 000 kr,94 m²,"Centrum-Stenstaden, Sundsvalls kommun",5 533 kr/mån,19 149 kr/m²,{'symbol': 'APARTMENT'},3 rum,,-10 %,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2_2x/6f/47/6f472408571111fc3d41d0dff42955b9.png,https://bilder.hemnet.se/images/broker_profile_small/f4/73/f473ec56b6761f0364141fa99267ed1a.png,Joacim Lind,FEATURE:Balkong,ENHANCED,COMMON,62.391468,17.2912979
4778036813837786495,21422517,lagenhet-4rum-haga-norrliden-sundsvalls-kommun-institutsvagen-3-4778036813837786495,Institutsvägen 3,1729288799.0,Såld 18 okt. 2024,4 500 000 kr,5 300 000 kr,133 m²,"Haga-Norrliden, Sundsvalls kommun",9 110 kr/mån,39 850 kr/m²,{'symbol': 'APARTMENT'},4 rum,,+18 %,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Hiss,NONE,COMMON,62.4030934590586,17.3193097147117
6241203308212212793,20461995,lagenhet-2rum-sundsvall-sundsvalls-kommun-vastra-allen-8a-6241203308212212793,Västra Allén 8A,1729209600.0,Såld 18 okt. 2024,795 000 kr,780 000 kr,57 m²,"Sundsvall, Sundsvalls kommun",5 224 kr/mån,13 684 kr/m²,{'symbol': 'APARTMENT'},2 rum,,-2 %,Svensk Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_1/73/80/7380eae8e412bea23a30d7cdd416f750.png,https://bilder.hemnet.se/images/broker_profile_small/ed/b7/edb7d0a7e8297703f5545f9510a6ea60.jpg,Alexander Vallgren,FEATURE:Balkong;FEATURE:Hiss,ENHANCED,COMMON,62.39222,17.29005
1464391846851206218,21415689,lagenhet-2rum-haga-sundsvalls-kommun-kungsvagen-26-1464391846851206218,Kungsvägen 26,1729202400.0,Såld 18 okt. 2024,1 475 000 kr,1 550 000 kr,61 m²,"Haga, Sundsvalls kommun",3 682 kr/mån,25 410 kr/m²,{'symbol': 'APARTMENT'},2 rum,,+5 %,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong,NONE,COMMON,62.3992577,17.3167362
8763079516490530225,21395520,lagenhet-3rum-norrliden-sundsvalls-kommun-baldersvagen-54-8763079516490530225,Baldersvägen 54,1728637200.0,Såld 11 okt. 2024,2 375 000 kr,2 250 000 kr,77 m²,"Norrliden, Sundsvalls kommun",4 300 kr/mån,29 221 kr/m²,{'symbol': 'APARTMENT'},3 rum,,-5 %,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2_2x/6f/47/6f472408571111fc3d41d0dff42955b9.png,https://bilder.hemnet.se/images/broker_profile_small/c2/09/c2095a54bc3e3126b2575523a0703d59.jpg,Victor Munter,FEATURE:Balkong;FEATURE:Hiss,ENHANCED,COMMON,62.398777,17.31501
948715411215468382,21347805,lagenhet-1rum-sundsvall-centrum-sundsvalls-kommun-storgatan-54b-948715411215468382,Storgatan 54B,1728048600.0,Såld 4 okt. 2024,795 000 kr,725 000 kr,40 m²,"Sundsvall centrum, Sundsvalls kommun",2 360 kr/mån,18 125 kr/m²,{'symbol': 'APARTMENT'},1 rum,,-9 %,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Hiss,NONE,COMMON,62.3926277,17.2938538
3191754708180417719,21395743,lagenhet-4rum-granlo-sundsvalls-kommun-sleipnervagen-1-a-3191754708180417719,Sleipnervägen 1 A,1727712900.0,Såld 30 sep. 2024,1 175 000 kr,1 100 000 kr,"79,5 m²","Granlo, Sundsvalls kommun",6 771 kr/mån,13 836 kr/m²,{'symbol': 'APARTMENT'},4 rum,,-6 %,Fastighetsbyrån Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/3d/53/3d53972640f121199879bf779e590c7d.jpg,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.397821877,17.2665810618
